dataset,cases,HR@1,HR@3,HR@5,NDCG@3,NDCG@5,total_calls,avg_calls_per_case,total_tokens,avg_tokens_per_case,elapsed_sec,avg_elapsed_sec_per_case,shortcut_cases,egcda_cases,failed_cases,timeout_cases,error_cases,notes
Eadro-TT,8,0.000000,0.000000,0.000000,0.000000,0.000000,48,6.000000,1089968,136246.000000,660.956000,82.619500,0,8,0,0,0,"CAPE-RCA evaluated in known-fault localization setting, not Eadro end-to-end anomaly detection; rank_missing=8; top-k/Avg@5 are lower bounds where only top-1 is available; missing_cases=Eadro-TT/TT.2022-04-17T212101D2022-04-17T230842/fault0, Eadro-TT/TT.2022-04-17T212101D2022-04-17T230842/fault7, Eadro-TT/TT.2022-04-17T212101D2022-04-17T230842/fault8, Eadro-TT/TT.2022-04-18T102520D2022-04-18T121301/fault8, Eadro-TT/TT.2022-04-18T121515D2022-04-18T140256/fault0, +3 more; HR@3/HR@5/NDCG are lower bounds where only top-1 is available"
Eadro-SN,8,0.125000,0.125000,0.125000,0.125000,0.125000,48,6.000000,1055756,131969.500000,633.753000,79.219125,0,8,0,0,0,"CAPE-RCA evaluated in known-fault localization setting, not Eadro end-to-end anomaly detection; rank_missing=8; top-k/Avg@5 are lower bounds where only top-1 is available; missing_cases=Eadro-SN/SN.2022-04-17T181245D2022-04-17T183616/fault0, Eadro-SN/SN.2022-04-17T181245D2022-04-17T183616/fault7, Eadro-SN/SN.2022-04-17T181245D2022-04-17T183616/fault8, Eadro-SN/SN.2022-04-17T183729D2022-04-17T190100/fault0, Eadro-SN/SN.2022-04-17T183729D2022-04-17T190100/fault4, +3 more; HR@3/HR@5/NDCG are lower bounds where only top-1 is available"
